EmployeeID,FirstName,LastName,Address,City,State,Country,PostalCode,PhoneNumber,Email,LocationID
1,Darb,Seeley,41284 Nova Parkway,Cruz Alta,California,USA,94016,4158710764,dseeley0@unc.edu,2
2,Tildi,Kiddell,0333 Charing Cross Parkway,‘Arīqah,California,USA,94071,4150607835,tkiddell1@reuters.com,3
3,Herschel,Maypes,05 Kennedy Crossing,Saint-Bruno-de-Guigues,California,USA,94106,4152707102,hmaypes2@jugem.jp,1
4,Jemimah,Jeves,035 Schmedeman Alley,Tumpang Satu,California,USA,94142,4154679450,jjeves3@live.com,5
5,Ramonda,Gutridge,5918 Lien Crossing,Alenquer,California,USA,94134,4151112276,rgutridge4@dot.gov,1
6,Barby,Gwilliam,1 Corry Point,Cibeureum Kidul,California,USA,94036,4156026765,bgwilliam5@alibaba.com,4
7,Lew,Curson,064 Monica Road,Cirateun,California,USA,94087,4153728290,lcurson6@netlog.com,5
8,Nathalia,Winslow,22161 Steensland Plaza,Žďár nad Sázavou,California,USA,94113,4155374535,nwinslow7@patch.com,4
9,Sutherland,Ledgister,1 Debra Point,Denver,California,USA,94037,4154370780,sledgister8@ustream.tv,4
10,Holmes,Dunmuir,10979 Garrison Junction,Radocza,California,USA,94122,4154757230,hdunmuir9@fastcompany.com,3
11,Rudiger,Sleith,18665 Oak Junction,Rockford,California,USA,94071,4150820191,rsleitha@cbc.ca,5
12,Alisun,Brownsworth,07 Basil Junction,Sunchales,California,USA,94095,4153760515,abrownsworthb@slashdot.org,1
13,Cymbre,Dupey,575 Hoard Point,Drogomyśl,California,USA,94139,4158645311,cdupeyc@npr.org,2
14,Sherm,Clemintoni,71192 Darwin Way,Dul’durga,California,USA,94075,4151911961,sclemintonid@hhs.gov,3
15,Quintin,Fargie,59333 South Way,Dawuhan,California,USA,94061,4159338186,qfargiee@yellowbook.com,3
16,Ralina,MacBean,1026 Linden Road,Rongdoi,California,USA,94009,4156363163,rmacbeanf@furl.net,4
17,Olenka,Bhatia,6820 Fisk Place,Aniva,California,USA,94089,4153900761,obhatiag@admin.ch,1
18,Pebrook,Prin,58 Jenifer Place,Łopuszno,California,USA,94043,4154315980,pprinh@topsy.com,3
19,Tull,Da Costa,39 Petterle Circle,Cileles,California,USA,94107,4159091071,tdacostai@slideshare.net,2
20,Barnaby,Koene,14 Sloan Court,Guilherand-Granges,California,USA,94014,4152645809,bkoenej@earthlink.net,4
21,Adi,Arrell,26323 Delladonna Junction,Santa Cruz,California,USA,94085,4154801430,aarrellk@feedburner.com,4
22,Tobe,Maddrah,1742 Valley Edge Point,Ngembel,California,USA,94132,4157850286,tmaddrahl@yellowbook.com,5
23,Aldwin,Picken,51309 Service Pass,Santo Niño,California,USA,94079,4156102042,apickenm@buzzfeed.com,4
24,Guntar,Jefferson,1718 Old Gate Way,Liopétri,California,USA,94006,4150659903,gjeffersonn@miitbeian.gov.cn,4
25,Nataniel,Dutteridge,827 Coleman Parkway,Gominhães,California,USA,94019,4152214763,ndutteridgeo@gravatar.com,3
